subject_id,condition,accuracy,n_trials,mean_rt,mean_confidence
sub80,NB,0.875,40,5.7589,4.7
sub81,NB,0.875,40,5.6566,3.6
sub82,NB,0.875,40,5.8144,4.05
sub83,NB,0.95,40,4.7477,4.4
sub84,NB,0.825,40,4.8336,4.325
sub85,NB,0.875,40,6.8859,4.675
sub86,NB,0.85,40,6.2617,4.175
sub87,NB,0.825,40,4.0277,3.55
sub88,AB,0.875,40,5.4981,4.3
sub89,AB,0.825,40,7.6029,3.725
sub90,AB,0.975,40,4.95,4.7
sub91,AB,0.975,40,6.2207,4.775
sub92,AB,0.9,40,4.8516,4.1
sub93,AB,0.9,40,5.0399,4.625
sub94,AB,0.675,40,4.4087,3.625
sub95,AB,0.85,40,5.188,3.375
sub96,AB,0.775,40,5.9984,3.6
sub97,AB,0.85,40,5.7715,3.575
sub98,AB,0.75,40,3.399,4.4
sub99,AB,0.825,40,8.8314,4.075
