subject_id,instruction_2.stopped,Videos.stopped,condition,encoding_duration_sec,encoding_duration_min,passes_vigilance
sub163,19.144428500003414,1574.1095692999952,NB,1554.9651407999918,25.916085679999863,True
sub164,42.82281959999818,1581.742582900013,NB,1538.919763300015,25.648662721666916,True
sub165,17.82293879997451,1542.069589199993,NB,1524.2466504000186,25.40411084000031,True
sub166,29.11467779998202,1548.213744599983,NB,1519.099066800001,25.31831778000002,True
sub167,14.737533500010612,1539.8370833000226,NB,1525.099549800012,25.4183258300002,True
sub168,21.33400200001779,1549.3152438000252,NB,1527.9812418000074,25.466354030000122,True
sub169,20.79653310001595,1572.663337200007,NB,1551.866804099991,25.86444673499985,True
sub17,13.65167819999624,1522.9665532000072,NB,1509.314875000011,25.15524791666685,True
sub170,15.282433899992611,1536.7608512000006,NB,1521.478417300008,25.3579736216668,True
sub171,26.311411600006977,1570.3864696999954,NB,1544.0750580999884,25.734584301666473,True
sub172,28.046896999992896,1546.2003614999994,NB,1518.1534645000065,25.302557741666774,True
sub173,29.585397399991052,1558.907145699981,NB,1529.3217482999898,25.488695804999832,True
sub174,20.062097399990307,1562.93782859997,NB,1542.8757311999798,25.714595519999662,True
sub175,24.62183149997145,1561.926942799997,NB,1537.3051113000256,25.621751855000426,True
sub176,24.53659819997847,1571.1688808999606,NB,1546.6322826999822,25.777204711666368,True
sub177,14.07445660000667,1536.989637599967,NB,1522.9151809999603,25.381919683332672,True
sub178,27.51614420005353,1570.3338760000188,NB,1542.8177317999653,25.713628863332755,True
sub179,39.726794700021856,1590.2268449999974,NB,1550.5000502999756,25.84166750499959,True
sub18,19.547829499992076,1538.1949364000177,NB,1518.6471069000256,25.310785115000428,True
sub180,26.082516000024043,1559.703171900008,NB,1533.620655899984,25.560344264999735,True
sub181,18.142840899992738,1560.875574900012,NB,1542.7327340000193,25.712212233333656,True
sub182,23.84694339998532,1569.9767919000003,NB,1546.129848500015,25.768830808333583,True
sub183,16.308889000036288,1557.4453446000116,NB,1541.1364555999753,25.68560759333292,True
sub184,15.138661800068803,1534.0105792999966,NB,1518.8719174999278,25.31453195833213,True
sub185,25.258594000013545,1602.626339899958,NB,1577.3677458999446,26.289462431665743,True
sub19,13.411291000000006,1536.9291285999998,NB,1523.5178376,25.39196396,True
sub21,33.182266100000106,1606.2745224,NB,1573.0922563,26.218204271666664,True
sub22,17.807912600000236,1527.1564861000006,NB,1509.3485735000004,25.15580955833334,True
sub23,16.59826819999944,1535.9560913999994,AB,1519.3578232,25.322630386666667,True
sub24,16.926786500000162,1524.7402659999989,NB,1507.8134794999987,25.13022465833331,True
