participant_id,condition,accuracy,resp.corr_std,n_trials,mean_rt,median_rt,resp.rt_std,mean_confidence,conf_radio.response_std
sub56,NB,82.5,0.3848076442547927,40,9.121602259995417,7.581836249970365,6.012773444346647,4.425,0.9841695705465312
sub57,NB,85.0,0.3616202853397895,40,5.5575203750049695,4.709170999994967,2.9064095304918096,4.775,0.5767948575466911
sub58,NB,85.0,0.36162028533978946,40,9.875410099991132,8.916273149952758,5.404173001596418,4.075,1.3471241923978612
sub59,NB,82.5,0.3848076442547927,40,9.179609309995431,7.249200199963525,5.158002516361731,3.35,1.3876746829286128
sub60,NB,90.0,0.3038218101251,40,6.717097315008869,5.707109200011473,4.256233738141593,4.575,0.8439072740411041
sub61,NB,82.5,0.38480764425479264,40,6.8648409324998285,5.8524803500004055,3.811555716839471,3.825,1.129726538274662
sub62,NB,95.0,0.22072142786315224,40,4.9480228299999,4.415371150000283,2.592000375563918,4.675,0.6938373414643064
sub63,NB,87.5,0.33493206352854177,40,4.736996929999987,3.9555466000019806,2.8428312010005388,3.5,0.8164965809277263
sub64,NB,97.5,0.15811388300841897,40,7.0455133599991315,5.439228249997541,3.9173015848191084,3.55,1.0365128915546467
sub65,NB,90.0,0.3038218101251,40,5.404336509999121,4.925883949996205,2.0040870519241483,4.35,0.9212588934267875
sub66,NB,72.5,0.4522025867763026,40,12.179665147500781,8.649992600003316,9.278668824317535,3.4,1.3165611772087666
sub67,NB,82.5,0.38480764425479264,40,8.133502757499446,5.211314300002414,6.681751887974791,4.225,1.310460870193266
sub68,NB,95.0,0.22072142786315224,40,5.102304485000786,3.8367656499976874,3.575353289986967,4.775,0.6597396533909496
sub69,NB,80.0,0.40509574683346666,40,4.48992186000105,3.936039450003591,1.8072616872209513,3.9,1.4286446867663218
sub70,NB,90.0,0.30382181012509996,40,4.63613785499947,3.749532450005063,2.674195973286367,3.7,1.2850221987506876
sub71,NB,90.0,0.3038218101251,40,4.148620717499943,3.9126633499981835,1.2754695989004612,4.625,1.0047961905856255
sub72,NB,92.5,0.2667467828369185,40,5.931091035001009,4.514770649999264,4.749640479375246,3.75,0.98058067569092
sub73,NB,90.0,0.3038218101251,40,7.956583084999875,6.453305449998879,4.9445966685517115,4.075,0.9167249398727055
sub74,NB,97.5,0.15811388300841897,40,5.044551855001191,4.519240849993366,2.1886542500292103,4.625,0.49029033784546006
sub75,NB,82.5,0.38480764425479264,40,6.3766200375008335,5.6337471999941044,3.970376053970809,3.75,1.006389841373865
sub76,NB,90.0,0.3038218101251,40,5.6627930075024775,4.107245150022209,3.6406509807757783,4.125,1.2847727525290322
sub77,NB,72.5,0.45220258677630265,40,4.972529069998563,4.595590050012106,2.375387957894379,3.675,1.4916433890176297
sub78,NB,95.0,0.22072142786315224,40,4.984837389999302,4.117060100019444,3.2127434019038694,4.675,0.572332161042958
sub79,NB,72.5,0.45220258677630254,40,5.267965545001789,4.608140700001968,2.422700615053183,3.95,1.0365128915546467
